strategy_name,signal_type,instrument,timeframe,direction,entry_date,entry_price,stop_price,exit_date,exit_price,exit_type,volume,commission,profit_abs,profit_eq_pc,start_equity
SOL-USDT-SWAP_H1_RISE_FALL_False_True_False,RISE_FALL,SOL-USDT-SWAP,H1,Long,2021-04-05 15:00:00,24.676,23.35,2021-04-05 21:00:00,23.3,stop,1.52,0.03646176,-2.1279817599999964,-0.02135350710367749,9965.490678735
EGLD-USDT-SWAP_H1_BB_CONFIRMED_False_True_True,BB_CONFIRMED,EGLD-USDT-SWAP,H1,Short,2021-04-05 16:00:00,168.985,173.575,2021-04-05 17:00:00,166.21,take_profit,0.9,0.15083775000000002,2.3466622500000054,0.02354788465165557,9965.490678735
EGLD-USDT-SWAP_H1_BB_CONFIRMED_False_True_True,BB_CONFIRMED,EGLD-USDT-SWAP,H1,Short,2021-04-05 18:00:00,166.115,170.508,2021-04-05 23:00:00,166.114,take_profit,1.0,0.16611450000000003,-0.16511449999999525,-0.0016555534827449843,9973.371547395
DOGE-USDT-SWAP_M30_BB_CONFIRMED_False_True_False_w,BB_CONFIRMED,DOGE-USDT-SWAP,M30,Short,2021-04-05 23:30:00,0.058947,0.0603,2021-04-06 00:30:00,0.06035,stop,3670.0,0.21890999500000002,-5.367919995000005,-0.05385289449260006,9967.746479694999
ETH-USDT-SWAP_H4_EXPANSION_False_False_True,EXPANSION,ETH-USDT-SWAP,H4,Long,2021-04-06 00:00:00,2136.24,2085.39,2021-04-06 12:00:00,2085.34,stop,0.025,0.052769750000000004,-1.325269749999991,-0.01329558042732787,9967.746479694999
ETH-USDT-SWAP_H4_EXPANSION_False_True_False_w,EXPANSION,ETH-USDT-SWAP,H4,Long,2021-04-06 00:00:00,2136.24,2085.39,2021-04-06 12:00:00,2085.34,stop,0.027,0.05699133,-1.43129132999999,-0.014359226861514099,9967.746479694999
AAVE-USDT-SWAP_H1_FAKE_REVERSAL_False_True_False_w,FAKE_REVERSAL,AAVE-USDT-SWAP,H1,Long,2021-04-06 00:00:00,402.22,387.76,2021-04-06 01:00:00,404.58,take_profit,0.29,0.11698599999999999,0.5674139999999874,0.005692500317457408,9967.746479694999
ETH-USDT-SWAP_H4_EXPANSION_False_False_True_w,EXPANSION,ETH-USDT-SWAP,H4,Long,2021-04-06 00:00:00,2136.24,2085.39,2021-04-06 12:00:00,2085.34,stop,0.067,0.14142293000000003,-3.551722929999976,-0.03563215554523869,9967.746479694999
ETH-USDT-SWAP_H4_EXPANSION_False_True_False,EXPANSION,ETH-USDT-SWAP,H4,Long,2021-04-06 00:00:00,2136.24,2085.39,2021-04-06 12:00:00,2085.34,stop,0.015,0.03166185,-0.7951618499999945,-0.00797734825639672,9967.746479694999
ETH-USDT-SWAP_H1_HHV_LLV_False_True_False,HHV_LLV,ETH-USDT-SWAP,H1,Long,2021-04-06 01:00:00,2147.03,2117.56,2021-04-06 02:00:00,2117.51,stop,0.146,0.31131142000000006,-4.621231419999997,-0.04636711682277935,9966.613705275
